timestamp,datetime,comment-id,author-id,agrees,disagrees,moderated,comment-body
1750942477,Thu Jun 26 2025 12:54:37 GMT+0000 (Coordinated Universal Time),11,0,53,18,1,"FAccT is building a community that shares similar values"
1750942488,Thu Jun 26 2025 12:54:48 GMT+0000 (Coordinated Universal Time),12,0,29,14,1,"FAccT is not advertised locally (even among academics)"
1750942506,Thu Jun 26 2025 12:55:06 GMT+0000 (Coordinated Universal Time),13,0,24,46,1,"Faact is mostly focused on a single discipline (CS)"
1750942550,Thu Jun 26 2025 12:55:50 GMT+0000 (Coordinated Universal Time),17,0,30,45,1,"FAccT should be vegetarian"
1750942464,Thu Jun 26 2025 12:54:24 GMT+0000 (Coordinated Universal Time),9,0,36,34,1,"FAccT should be free for phd students"
1750942468,Thu Jun 26 2025 12:54:28 GMT+0000 (Coordinated Universal Time),10,0,65,13,1,"FAccT should have different prices for different countries' incomde group"
1750942330,Thu Jun 26 2025 12:52:10 GMT+0000 (Coordinated Universal Time),0,0,87,1,1,"FAccT should be open and welcoming community"
1750942425,Thu Jun 26 2025 12:53:45 GMT+0000 (Coordinated Universal Time),1,0,42,19,1,"FAccT should be a generator for alternative solidarity structures (such as mutual aid)"
1750942429,Thu Jun 26 2025 12:53:49 GMT+0000 (Coordinated Universal Time),2,0,37,25,1,"FAccT is NOT doing well in inviting “non-academics” into the conversation (e.g., industry, community leaders, entrepreneurs)"
1750942434,Thu Jun 26 2025 12:53:54 GMT+0000 (Coordinated Universal Time),3,0,61,12,1,"FAccT should have poster sessions"
1750942439,Thu Jun 26 2025 12:53:59 GMT+0000 (Coordinated Universal Time),4,0,22,19,1,"Facct is not inclusive to the local country/community"
1750942444,Thu Jun 26 2025 12:54:04 GMT+0000 (Coordinated Universal Time),5,0,38,17,1,"FAccT is not doing well in providing tangible, practical guidance for non-academics to build responsible technology"
1750942450,Thu Jun 26 2025 12:54:10 GMT+0000 (Coordinated Universal Time),6,0,63,4,1,"FAccT should have more opportunities to meet people (i.e. speed dating, poster sessions)"
1750942455,Thu Jun 26 2025 12:54:15 GMT+0000 (Coordinated Universal Time),7,0,34,5,1,"FAccT is doing well in implementing requests from previous years into future conferences"
1750942459,Thu Jun 26 2025 12:54:19 GMT+0000 (Coordinated Universal Time),8,0,40,16,1,"FAccT should invite more industry (as visitors) but not give them a platform"
1750942513,Thu Jun 26 2025 12:55:13 GMT+0000 (Coordinated Universal Time),14,0,44,16,1,"FAccT is the most multidisciplinary conference in Computer Science"
1750942537,Thu Jun 26 2025 12:55:37 GMT+0000 (Coordinated Universal Time),15,0,52,8,1,"FAccT should be more aware and welcoming for neurodiversity (i.e. better acoustics in the building, low stimulus room, nap room)"
1750942543,Thu Jun 26 2025 12:55:43 GMT+0000 (Coordinated Universal Time),16,0,27,22,1,"FAccT is not inclusive to non academics"
1750942598,Thu Jun 26 2025 12:56:38 GMT+0000 (Coordinated Universal Time),18,0,64,7,1,"FAccT is doing well in respectful exchange of interdisciplinary topics."
1750942604,Thu Jun 26 2025 12:56:44 GMT+0000 (Coordinated Universal Time),19,0,65,2,1,"FAccT should NOT be exclusionary"
1750942621,Thu Jun 26 2025 12:57:01 GMT+0000 (Coordinated Universal Time),20,0,31,39,1,"FAccT should NOT be sponsored by big corporates"
1750942626,Thu Jun 26 2025 12:57:06 GMT+0000 (Coordinated Universal Time),21,0,35,17,1,"FAccT is not doing well in creating opportunities for participatory design, prototyping, and building/creating together AT the conference"
1750942638,Thu Jun 26 2025 12:57:18 GMT+0000 (Coordinated Universal Time),22,0,47,9,1,"FAccT is doing well in sticking to their values"
1750942654,Thu Jun 26 2025 12:57:34 GMT+0000 (Coordinated Universal Time),23,0,43,15,1,"FAccT is doing well at inclusivity"
1750942659,Thu Jun 26 2025 12:57:39 GMT+0000 (Coordinated Universal Time),24,0,54,3,1,"FAccT is doing well in selecting diverse locations that are fun and culturally enriched."
1750942665,Thu Jun 26 2025 12:57:45 GMT+0000 (Coordinated Universal Time),25,0,48,13,1,"FAccT should NOT be centred around western naratives (e.g. US right now) and political atmosphere"
1750942681,Thu Jun 26 2025 12:58:01 GMT+0000 (Coordinated Universal Time),26,0,61,12,1,"FAccT should NOT contribute to plastic waste"
1750942691,Thu Jun 26 2025 12:58:11 GMT+0000 (Coordinated Universal Time),27,0,68,2,1,"Faact is a useful space to meet future collaborators"
1750942718,Thu Jun 26 2025 12:58:38 GMT+0000 (Coordinated Universal Time),28,0,64,9,1,"FAccT should NOT dismiss environmental foot print of research"
1750942722,Thu Jun 26 2025 12:58:42 GMT+0000 (Coordinated Universal Time),29,0,61,11,1,"FAccT is doing well in providing different formats and ways to connect like socials, CRAFTs, etc."
1750942727,Thu Jun 26 2025 12:58:47 GMT+0000 (Coordinated Universal Time),30,0,45,14,1,"FAccT should NOT be repeatedly in visa-requiring locations"
1750942742,Thu Jun 26 2025 12:59:02 GMT+0000 (Coordinated Universal Time),31,0,42,25,1,"FAccT should be multilingual"
1750942981,Thu Jun 26 2025 13:03:01 GMT+0000 (Coordinated Universal Time),32,12,44,7,0,"FAccT should diversify its epitstemology."
1750943171,Thu Jun 26 2025 13:06:11 GMT+0000 (Coordinated Universal Time),33,2,56,13,0,"FAccT is US centric in content and attendees"
1750943226,Thu Jun 26 2025 13:07:06 GMT+0000 (Coordinated Universal Time),34,3,41,11,0,"FaCCT should engage in real participatory design"
1751198653,Sun Jun 29 2025 12:04:13 GMT+0000 (Coordinated Universal Time),35,0,32,17,0,"FAccT should have less simultaneous paper tracks (offering the choice between papers, craft and tutorial)"
1751199906,Sun Jun 29 2025 12:25:06 GMT+0000 (Coordinated Universal Time),36,16,37,17,0,"FAccT should remain volunteer-run (organizers are uncompensated)"
1751200046,Sun Jun 29 2025 12:27:26 GMT+0000 (Coordinated Universal Time),37,16,30,24,0,"FAccT should take industry funding, but only the minimum required to operate"
1751200106,Sun Jun 29 2025 12:28:26 GMT+0000 (Coordinated Universal Time),38,16,2,57,0,"FAccT should reduce sponsorship reliance to a minimum by no longer providing financial support to any attendees"
1751204206,Sun Jun 29 2025 13:36:46 GMT+0000 (Coordinated Universal Time),39,19,39,10,0,"FAccT should have an ""interventions/visioning"" track/workshop that makes space for new proposals and a critical discussion of them"
1752857759,Fri Jul 18 2025 16:55:59 GMT+0000 (Coordinated Universal Time),40,37,46,4,0,"Because there aren't other conferences with this focus, so FAccT must remain a top venue for research in computing and social justice."
1752857978,Fri Jul 18 2025 16:59:38 GMT+0000 (Coordinated Universal Time),41,37,36,3,0,"Academics often need publications to justify attendance. FAccT should add publications (e.g. workshops) to broaden audience esp. students."
1752900195,Sat Jul 19 2025 04:43:15 GMT+0000 (Coordinated Universal Time),42,47,40,4,0,"Faact should support more cross-disciplinary meetings at the conference, not just in the socials."
1753029230,Sun Jul 20 2025 16:33:50 GMT+0000 (Coordinated Universal Time),43,49,20,6,0,"Regarding whether FAccT remains volunteer-run, I think we shall also think about ""what is the role of compensation"", the necessity"
1753029425,Sun Jul 20 2025 16:37:05 GMT+0000 (Coordinated Universal Time),44,49,13,7,0,"agree on value of neurodiversity, yet, comtemplate ""more aware"" relates to what topics receive less attention,as attention isn't unlimited"
1753029505,Sun Jul 20 2025 16:38:25 GMT+0000 (Coordinated Universal Time),45,49,1,0,0,"Depending on fields of non-academics"
1753029629,Sun Jul 20 2025 16:40:29 GMT+0000 (Coordinated Universal Time),46,49,23,8,0,"better question is the alternatives (how to) not center around western narratives"
1753029719,Sun Jul 20 2025 16:41:59 GMT+0000 (Coordinated Universal Time),47,49,9,7,0,"the current feedback of poster sessions, esp junior"
1753029809,Sun Jul 20 2025 16:43:29 GMT+0000 (Coordinated Universal Time),48,49,31,3,0,"should take visa as a consideration. but ""should not"" sets a barriers for some locations benefiting for hosting FAccT"
1753994299,Thu Jul 31 2025 20:38:19 GMT+0000 (Coordinated Universal Time),49,60,17,4,0,"Polis is not a useful way to have a conversation about these issues."
1753994329,Thu Jul 31 2025 20:38:49 GMT+0000 (Coordinated Universal Time),50,60,13,6,0,"Many of the ideas in here are things that FaccT already does."
1753994490,Thu Jul 31 2025 20:41:30 GMT+0000 (Coordinated Universal Time),51,60,29,4,0,"Financial support to attendees is a paramount expression of our values."
1753995480,Thu Jul 31 2025 20:58:00 GMT+0000 (Coordinated Universal Time),52,72,26,0,0,"It's easy to vote for judgements about organizing a conference, more difficult to put together a conference that integrates all of them"
1753995838,Thu Jul 31 2025 21:03:58 GMT+0000 (Coordinated Universal Time),53,75,26,4,0,"FAccT should be more inclusive of people & topics important outside the US, Europe & scrutinize prominence of corporate papers & narratives."
1753995969,Thu Jul 31 2025 21:06:09 GMT+0000 (Coordinated Universal Time),54,75,26,1,0,"Poster sessions provide value as an easy way to randomly talk to anyone and start a conversation, sometimes difficult otherwise at FAccT."
1753996147,Thu Jul 31 2025 21:09:07 GMT+0000 (Coordinated Universal Time),55,75,11,7,0,"3 times I've been to FAccT (18, 23, 24) tech industry influence (e.g. who runs workshops) has been noticeable & sometimes problematic."
1753996443,Thu Jul 31 2025 21:14:03 GMT+0000 (Coordinated Universal Time),56,75,13,6,0,"FAccT could require panels & workshops to be designed/led by representatives of that year's region. '24 had decent regional representation."
1753996548,Thu Jul 31 2025 21:15:48 GMT+0000 (Coordinated Universal Time),57,75,13,0,0,"In 3 years I've been to FAccT it had plenty of industry input through the papers chosen & who ran or spoke at panels & workshops."
1754028495,Fri Aug 01 2025 06:08:15 GMT+0000 (Coordinated Universal Time),58,98,15,0,0,"Facct should also run local meetups (EU/UK/Asia-Pacific) in case if attendees fail to attend due to visa reasons"
1754035026,Fri Aug 01 2025 07:57:06 GMT+0000 (Coordinated Universal Time),59,104,8,8,0,"FAccT should not get money from big corporations."
1754075708,Fri Aug 01 2025 19:15:08 GMT+0000 (Coordinated Universal Time),60,125,2,0,0,"A FAccT paper submission is more likely to be rejected if it takes a critical perspective on past published work."
